"Date/Time","Year","Month","Day","Time","Data Quality","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2011-01-01 00:00","2011","01","01","00:00"," ","2.3","","1.7","","96","","14","","4","","4.8","","101.08","","","","","","Drizzle,Fog"
"2011-01-01 01:00","2011","01","01","01:00"," ","2.5","","1.8","","95","","13","","9","","2.0","","101.03","","","","","","Drizzle,Fog"
"2011-01-01 02:00","2011","01","01","02:00"," ","2.1","","2.0","","99","","15","","6","","2.0","","101.07","","","","","","Drizzle,Fog"
"2011-01-01 03:00","2011","01","01","03:00"," ","2.2","","1.8","","97","","15","","4","","2.4","","101.10","","","","","","Fog"
"2011-01-01 04:00","2011","01","01","04:00"," ","2.3","","1.8","","96","","17","","6","","2.8","","101.17","","","","","","Fog"
"2011-01-01 05:00","2011","01","01","05:00"," ","2.5","","2.3","","99","","21","","7","","2.8","","101.16","","","","","","Fog"
"2011-01-01 06:00","2011","01","01","06:00"," ","2.8","","2.5","","98","","19","","4","","3.2","","101.12","","","","","","Fog"
"2011-01-01 07:00","2011","01","01","07:00"," ","3.7","","3.3","","97","","17","","4","","2.4","","101.16","","","","","","Fog"
"2011-01-01 08:00","2011","01","01","08:00"," ","4.1","","4.1","","100","","9","","4","","0.2","","101.17","","","","","","Fog"
"2011-01-01 09:00","2011","01","01","09:00"," ","3.2","","3.1","","99","","12","","11","","0.4","","101.19","","","","","","Drizzle,Fog"
"2011-01-01 10:00","2011","01","01","10:00"," ","3.0","","2.8","","99","","","","0","","1.0","","101.26","","","","","","Drizzle,Fog"
"2011-01-01 11:00","2011","01","01","11:00"," ","3.9","","3.7","","99","","9","","9","","1.2","","101.11","","","","","","Drizzle,Fog"
"2011-01-01 12:00","2011","01","01","12:00"," ","4.6","","4.0","","96","","7","","7","","4.8","","101.05","","","","","","Fog"
"2011-01-01 13:00","2011","01","01","13:00"," ","4.3","","3.6","","95","","2","","9","","3.2","","100.94","","","","","","Fog"
"2011-01-01 14:00","2011","01","01","14:00"," ","5.9","","3.5","","85","","5","","7","","9.7","","100.86","","","","","","Haze"
"2011-01-01 15:00","2011","01","01","15:00"," ","6.2","","3.9","","85","","10","","11","","9.7","","100.79","","","","","","Haze"
"2011-01-01 16:00","2011","01","01","16:00"," ","6.8","","4.3","","84","","8","","11","","9.7","","100.72","","","","","","Rain,Fog"
"2011-01-01 17:00","2011","01","01","17:00"," ","5.8","","4.3","","90","","10","","7","","9.7","","100.62","","","","","","Rain,Fog"
"2011-01-01 18:00","2011","01","01","18:00"," ","6.6","","5.1","","90","","9","","4","","12.9","","100.55","","","","","","Cloudy"
"2011-01-01 19:00","2011","01","01","19:00"," ","4.9","","3.4","","90","","1","","7","","12.9","","100.50","","","","","","Cloudy"
"2011-01-01 20:00","2011","01","01","20:00"," ","5.4","","4.0","","91","","3","","11","","11.3","","100.44","","","","","","Cloudy"
"2011-01-01 21:00","2011","01","01","21:00"," ","3.5","","2.7","","94","","1","","7","","11.3","","100.44","","","","","","Cloudy"
